,아파트,금액(만원)Incheon_abc_MC2301_84.csv,면적Incheon_abc_MC2301_84.csv,층Incheon_abc_MC2301_84.csv,주소Incheon_abc_MC2301_84.csv,금액(만원)Incheon_abc_MC2312_84.csv,면적Incheon_abc_MC2312_84.csv,층Incheon_abc_MC2312_84.csv,주소Incheon_abc_MC2312_84.csv
275,에코메트로5,51000,84.95,11,논현동 755-1,52000,84.99,8,논현동 755-1
276,에코메트로5,51000,84.95,11,논현동 755-1,57000,84.95,29,논현동 755-1
277,에코메트로6,46800,84.95,8,논현동 756-1,50600,84.99,16,논현동 756-1
278,에코메트로6,46800,84.95,8,논현동 756-1,54000,84.95,25,논현동 756-1
279,에코메트로6,46800,84.95,8,논현동 756-1,49800,84.95,13,논현동 756-1
280,에코메트로6,46800,84.95,8,논현동 756-1,49800,84.95,13,논현동 756-1
281,에코메트로6,43500,84.99,27,논현동 756-1,50600,84.99,16,논현동 756-1
282,에코메트로6,43500,84.99,27,논현동 756-1,54000,84.95,25,논현동 756-1
283,에코메트로6,43500,84.99,27,논현동 756-1,49800,84.95,13,논현동 756-1
284,에코메트로6,43500,84.99,27,논현동 756-1,49800,84.95,13,논현동 756-1
285,에코메트로6,43200,84.99,12,논현동 756-1,50600,84.99,16,논현동 756-1
286,에코메트로6,43200,84.99,12,논현동 756-1,54000,84.95,25,논현동 756-1
287,에코메트로6,43200,84.99,12,논현동 756-1,49800,84.95,13,논현동 756-1
288,에코메트로6,43200,84.99,12,논현동 756-1,49800,84.95,13,논현동 756-1
289,에코메트로6,47300,84.95,17,논현동 756-1,50600,84.99,16,논현동 756-1
290,에코메트로6,47300,84.95,17,논현동 756-1,54000,84.95,25,논현동 756-1
291,에코메트로6,47300,84.95,17,논현동 756-1,49800,84.95,13,논현동 756-1
292,에코메트로6,47300,84.95,17,논현동 756-1,49800,84.95,13,논현동 756-1
293,에코메트로6,42500,84.99,8,논현동 756-1,50600,84.99,16,논현동 756-1
294,에코메트로6,42500,84.99,8,논현동 756-1,54000,84.95,25,논현동 756-1
295,에코메트로6,42500,84.99,8,논현동 756-1,49800,84.95,13,논현동 756-1
296,에코메트로6,42500,84.99,8,논현동 756-1,49800,84.95,13,논현동 756-1
297,에코메트로6,43000,84.95,33,논현동 756-1,50600,84.99,16,논현동 756-1
298,에코메트로6,43000,84.95,33,논현동 756-1,54000,84.95,25,논현동 756-1
299,에코메트로6,43000,84.95,33,논현동 756-1,49800,84.95,13,논현동 756-1
300,에코메트로6,43000,84.95,33,논현동 756-1,49800,84.95,13,논현동 756-1
301,에코메트로6,42500,84.99,8,논현동 756-1,50600,84.99,16,논현동 756-1
302,에코메트로6,42500,84.99,8,논현동 756-1,54000,84.95,25,논현동 756-1
303,에코메트로6,42500,84.99,8,논현동 756-1,49800,84.95,13,논현동 756-1
304,에코메트로6,42500,84.99,8,논현동 756-1,49800,84.95,13,논현동 756-1
